Gene	withingroup.factor	acrossgroup.factor	rescale.factor
C11orf70	1	1	1
C11orf71	1	1	1
C11orf72	1	1.184	1.184
C11orf73	1.06	1.622	1.622
C11orf74	1.27	1.333	1.333
C11orf80	1	1	1
C11orf82	1.787	1.759	1.787
C11orf83	1.304	4.493	4.493
C11orf84	1.598	3.016	3.016
C11orf85	1	1	1
C11orf86	1	1	1
C11orf87	1	1	1
C11orf88	1	1	1
C11orf89	1	1	1
C11orf91	1	1	1
C11orf94	1	1	1
C11orf95	1	2.426	2.426
C11orf96	1	1	1
C12orf10	1.58	1.361	1.58
C12orf23	2.048	1.864	2.048
C12orf29	1.312	2.278	2.278
C12orf36	1	1	1
C12orf39	1	1	1
C12orf4	1	2.084	2.084
C12orf40	1	1	1
C12orf42	1	1	1
C12orf43	1	1.243	1.243
C12orf44	2.248	7.562	7.562
C12orf45	1.328	1.391	1.391
C12orf49	1	1	1
C12orf5	1.238	1.049	1.238
C12orf50	1	1	1
C12orf52	1.16	2.178	2.178
C12orf54	2.812	9.677	9.677
C12orf55	1	1	1
C12orf56	1	1	1
C12orf57	1.509	4.418	4.418
C12orf60	1	1	1
C12orf61	1	1	1
C12orf65	2.104	1.235	2.104
C12orf66	1	1.026	1.026
C12orf68	1	1	1
C12orf71	1	1	1
C12orf73	1.027	1.531	1.531
C12orf74	1	1	1
C12orf75	1.028	10.01	10.01
C12orf76	1	1.184	1.184
C12orf77	1	1	1
C12orf79	1	1	1
C12orf80	1	1	1
C13orf35	1	1	1
C13orf45	1	1	1
C14orf1	1.168	1.967	1.967
C14orf105	1	1	1
C14orf119	1.975	1.834	1.975
C14orf132	1.268	1	1.268
C14orf142	1.253	1.648	1.648
C14orf144	1	1	1
C14orf159	2.288	1.425	2.288
C14orf164	1	1	1
C14orf166	2.128	2.515	2.515
C14orf166B	1	1	1
C14orf169	1	1	1
C14orf177	1	1	1
C14orf178	1	1	1
C14orf180	1	1	1
C14orf182	1	1	1
C14orf183	1	1	1
C14orf2	1.464	8.908	8.908
C14orf23	1	1	1
C14orf28	1	1	1
C14orf37	1.077	1.118	1.118
C14orf39	1.121	1	1.121
C14orf64	1	1	1
C14orf79	1	1	1
C14orf80	1.28	1.293	1.293
C14orf93	1	1.081	1.081
C15orf26	1	1	1
C15orf27	1	1	1
C15ORF31	1	1	1
C15orf32	1	1	1
C15orf37	1	1	1
C15ORF37	1	1	1
C15orf38	1	1	1
C15orf38-AP3S2	1	1	1
C15orf39	1.694	5.929	5.929
C15orf40	1.361	1	1.361
C15orf41	1.376	1.001	1.376
C15orf43	1	1	1
C15orf48	1	1	1
C15orf52	1.01	1.256	1.256
C15orf53	1	1	1
C15orf54	1	1	1
C15orf56	1	1	1
C15orf57	1.56	1.4	1.56
C15orf59	1	1	1
C15orf60	1	1	1
C15orf61	1.744	4.93	4.93
C15orf62	1	1	1
C15orf65	1	1	1
C16orf11	1	1	1
C16orf13	1.742	3.57	3.57
C16orf3	1	1	1
C16orf45	1	1	1
C16orf46	1	1.061	1.061
C16orf47	1	1	1
C16orf52	1.418	1	1.418
C16orf54	1	1	1
C16orf58	1.01	4.816	4.816
C16orf59	1.719	3.224	3.224
C16orf62	1.051	1.85	1.85
C16orf70	1.006	1.228	1.228
C16orf71	1	1	1
C16orf72	1.271	2.752	2.752
C16orf74	1	1	1
C16orf78	1	1	1
C16orf80	2.117	1.044	2.117
C16orf82	1	1	1
C16orf86	1.038	1.067	1.067
C16orf87	1.163	2.163	2.163
C16orf89	1	1	1
C16orf90	1	1	1
C16orf91	1.58	1.797	1.797
C16orf92	1	1	1
C16orf93	1	1	1
C16orf95	1.244	1	1.244
C16orf96	1	1	1
C16orf97	1	1	1
C16orf98	1	1	1
C17orf100	1.396	1.238	1.396
C17orf102	1	1	1
C17orf103	1.009	1	1.009
C17orf104	1.306	1.076	1.306
C17orf105	1	1	1
C17orf107	1	1	1
C17orf112	1	1	1
C17orf47	1	1	1
C17orf49	1.554	2.895	2.895
C17orf50	1	1	1
C17orf51	1.037	1.122	1.122
C17orf53	1.514	1	1.514
C17orf58	1.753	1.577	1.753
C17orf59	1.84	2.062	2.062
C17orf61-PLSCR3	1.017	1.072	1.072
C17orf62	1.066	2.452	2.452
C17orf64	1	1	1
C17orf66	1	1	1
C17orf67	1	1	1
C17orf70	1.474	4.457	4.457
C17orf72	1	1	1
C17orf74	1	1	1
C17orf75	1.836	1.746	1.836
C17orf76-AS1	3.142	11.28	11.28
C17orf77	1	1	1
C17orf78	1	1	1
C17orf80	1.135	1.05	1.135
C17orf82	1	1	1
C17orf85	1	1.878	1.878
C17orf89	1.471	2.19	2.19
C17orf96	1.816	2.013	2.013
C17orf97	1	2.524	2.524
C17orf98	1	1	1
C17orf99	1	1	1
C18orf21	1.679	1	1.679
C18orf25	1.239	1.356	1.356
C18orf32	1.177	1.717	1.717
C18orf42	1	1	1
C18orf54	1.017	1.713	1.713
C18orf56	1.953	3.651	3.651
C18orf63	1	1	1
C18orf8	1.253	1	1.253
C19orf10	1.029	2.519	2.519
C19orf12	1.206	1.338	1.338
C19orf18	1	1	1
C19orf24	1.025	2.567	2.567
C19orf25	1.199	3.22	3.22
C19orf26	1.041	1	1.041
C19orf33	1	1	1
C19orf35	1	1	1
C19orf38	1	1	1
C19orf40	1.208	1.872	1.872
C19orf43	4.808	9.462	9.462
C19orf44	1	1	1
C19orf45	1	1	1
C19orf47	1.225	1.465	1.465
C19orf48	1.179	6.649	6.649
C19orf52	1	1	1
C19orf53	1.306	4.042	4.042
C19orf54	1.072	2.836	2.836
C19orf55	1	1.019	1.019
C19orf57	1	1	1
C19orf59	1	1	1
C19orf60	1	1.152	1.152
C19orf66	1.234	1.093	1.234
C19orf67	1	1	1
C19orf68	1.063	1.215	1.215
C19orf69	1	1	1
C19orf70	1	3.074	3.074
C19orf71	1	1	1
C19orf73	1	1.178	1.178
C19orf77	1	1	1
C19orf80	1	1	1
C19orf81	1	1	1
C19orf82	1.116	1.222	1.222
C1D	1.159	2.128	2.128
C1GALT1	1.3	1.216	1.3
C1GALT1C1	1.008	3.434	3.434
C1orf100	1	1	1
C1orf101	1	1	1
C1orf105	1	1	1
C1orf106	1	1	1
C1orf109	1.711	1.776	1.776
C1orf110	1	1	1
C1orf111	1	1	1
C1orf112	1.195	1	1.195
C1orf115	1	1.219	1.219
C1orf116	1	1	1
C1orf122	1.575	2.65	2.65
C1orf123	1.514	1.298	1.514
C1orf127	1	1	1
C1orf131	1	1.256	1.256
C1orf132	1	1	1
C1orf134	1	1	1
C1orf137	1	1	1
C1orf141	1	1	1
C1orf143	1	1	1
C1orf145	1	1	1
C1orf146	1	1	1
C1orf147	1	1	1
C1orf158	1	1	1
C1orf159	1	1.158	1.158
C1orf162	1	1	1
C1orf167	1	1	1
C1orf168	1	1	1
C1orf170	1	1	1
C1orf172	1	1	1
C1orf173	1	1	1
C1orf174	1.531	1.918	1.918
C1orf177	1	1	1
C1orf180	1	1	1
C1orf185	1	1	1
C1orf186	1	1	1
C1orf189	1	1	1
C1orf192	1	1	1
C1orf194	1	1	1
C1orf195	1	1	1
C1orf198	1.152	1.331	1.331
C1orf200	1	1	1
C1orf204	1	1	1
C1orf21	1	1	1
C1orf210	1	1	1
C1orf213	1.003	1.357	1.357
C1orf216	1.143	1.164	1.164
C1orf220	1	1	1
C1ORF220	1	1	1
C1orf222	1	1	1
C1orf226	1	1.074	1.074
C1orf227	1	1	1
C1orf228	1	1	1
C1orf229	1	1	1
C1orf233	1	1.665	1.665
C1orf234	1	1	1
C1orf27	1.124	1	1.124
C1orf35	1.078	1.559	1.559
C1orf43	1.873	4.363	4.363
C1orf50	1.016	1.192	1.192
C1orf51	1	1	1
C1orf52	1	1.812	1.812
C1orf53	1.205	1.69	1.69
C1orf54	1	1	1
C1orf56	1	1	1
C1orf61	1	1	1
C1orf63	3.464	4.278	4.278
C1orf64	1	1	1
C1orf65	1	1	1
C1orf68	1	1	1
C1orf74	1	1.01	1.01
C1orf85	1	1	1
C1orf86	1.33	2.436	2.436
C1orf87	1	1	1
C1orf94	1	1	1
C1orf95	1	1	1
C1QA	1	1	1
C1QB	1	1	1
C1QBP	2.907	10.13	10.13
C1QC	1	1	1
C1QL1	1.078	1.014	1.078
C1QL2	1	1	1
C1QL3	1	1	1
C1QL4	1	1.852	1.852
C1QTNF1	1	1	1
C1QTNF1-AS1	1	1	1
C1QTNF2	1	1	1
C1QTNF3	1	1	1
C1QTNF4	1	1	1
C1QTNF5	1	1	1
C1QTNF6	1	1	1
C1QTNF7	1	1	1
C1QTNF8	1	1	1
C1QTNF9	1	1	1
C1QTNF9-AS1	1	1	1
C1QTNF9B	1	1	1
C1QTNF9B-AS1	1.278	1	1.278
C1R	1	1.755	1.755
C1RL	1	1	1
C1RL-AS1	1	1	1
C1S	1	1	1
C2	1	1	1
C20orf112	1.088	1.191	1.191
C20ORF135	1	1	1
C20orf141	1	1	1
C20orf144	1	1	1
C20orf166	1	1	1
C20orf166-AS1	1	1	1
C20orf173	1	1	1
C20orf187	1	1	1
C20orf194	1.003	1	1.003
C20orf195	1	1	1
C20orf196	1.088	1	1.088
C20orf197	1	1	1
C20orf201	1	1	1
C20orf202	1	1	1
C20orf203	1	1	1
C20orf24	2.478	1.713	2.478
C20orf26	1	1	1
C20orf27	1.739	1.953	1.953
C20orf62	1	1	1
C20orf78	1	1	1
C20orf85	1	1	1
C20orf96	1.217	1.148	1.217
C21orf119	1.087	1	1.087
C21orf128	1	1	1
C21orf2	1.033	2.103	2.103
C21orf33	1.801	12.85	12.85
C21orf37	1	1	1
C21orf49	1	1	1
C21orf54	1	1	1
C21orf58	1.359	3.34	3.34
C21orf59	1.776	1.303	1.776
C21orf62	1	1	1
C21orf67	1	1	1
C21orf88	1	1	1
C21orf90	1	1	1
C21orf91	1.227	2.072	2.072
C21orf91-OT1	1	1	1
C22orf15	1	1	1
C22orf23	1	1	1
C22orf24	1	1	1
C22orf26	1	1	1
C22orf29	1.079	3.083	3.083
C22orf31	1	1	1
C22orf34	1.114	1	1.114
C22orf39	1.044	1.892	1.892
C22orf42	1	1	1
C22orf43	1	1	1
C22orf46	2.244	2.18	2.244
C2CD2	1.098	1.155	1.155
C2CD2L	1.152	1.201	1.201
C2CD3	1	1	1
C2CD4A	1	1	1
C2CD4B	1	1	1
C2CD4C	1	1	1
C2CD4D	1	1	1
C2CD5	1.071	1	1.071
C2orf15	1.07	2.019	2.019
C2ORF15	1.001	1	1.001
C2orf16	1	1	1
C2orf27A	1	1	1
C2orf27B	1	1	1
C2orf40	1	1	1
C2orf42	1.058	1.418	1.418
C2orf43	1.178	1	1.178
C2orf44	1.28	1	1.28
C2orf47	1.589	1.274	1.589
C2orf48	1.028	1	1.028
C2orf49	1.402	3.176	3.176
C2orf50	1	1	1
C2orf53	1	1	1
C2orf54	1	1	1
C2orf57	1	1	1
C2orf61	1	1	1
C2orf62	1	1	1
C2orf66	1	1	1
C2orf68	1	2.318	2.318
C2orf69	2.939	2.882	2.939
C2orf70	1	1	1
C2orf71	1	1	1
C2orf72	1	1	1
C2orf73	1	1	1
C2orf74	1	1	1
C2orf76	1	1.479	1.479
C2orf78	1	1	1
C2orf80	1	1	1
C2orf81	1	1	1
C2orf82	1.239	1	1.239
C2orf83	1	1	1
C2orf88	1.698	1	1.698
C2orf91	1	1	1
C3	1	1	1
C3AR1	1	1	1
C3orf14	1	1	1
C3orf17	1	2.669	2.669
C3orf18	1	1	1
C3orf20	1	1	1
C3orf22	1	1	1
C3orf27	1	1	1
C3orf30	1	1	1
C3orf33	1	1	1
C3orf35	1	1	1
C3orf36	1	1	1
C3orf38	1.79	2.537	2.537
C3orf49	1	1	1
C3orf52	1	1.691	1.691
C3orf55	1	1	1
C3orf56	1	1	1
C3orf58	1.95	3.858	3.858
C3orf62	1.028	1.997	1.997
C3orf65	1	1	1
C3orf67	1	1	1
C3orf70	1	1	1
C3orf72	1	1	1
C3orf79	1	1	1
C3orf80	1	1.005	1.005
C3orf83	1	1	1
C3orf84	1	1	1
C3P1	1	1	1
C4A	1	1	1
C4A-AS1	1	1	1
C4B	1	1	1
C4B_2	1	1	1
C4B-AS1	1	1	1
C4BPA	1	1	1
C4BPB	1	1	1
C4orf17	1	1	1
C4orf19	1	1	1
C4orf21	1	1.084	1.084
C4orf22	1	1	1
C4orf26	1	1	1
C4orf27	1.196	3.472	3.472
C4orf29	1	2.213	2.213
C4orf3	1.298	1.961	1.961
C4orf32	1.255	1	1.255
C4orf33	1	1.686	1.686
C4orf36	1	1	1
C4orf40	1	1	1
C4orf45	1	1	1
C4orf46	1	1.645	1.645
C4orf47	1	1	1
C4orf48	1.341	4.424	4.424
C4orf50	1	1	1
C4orf51	1	1	1
C4orf6	1	1	1
C5	1.125	1	1.125
C5AR1	1	1	1
C5AR2	1	1	1
C5orf15	1.466	1.739	1.739
C5orf17	1	1	1
C5orf20	1	1	1
C5orf22	1.117	1.82	1.82
C5orf24	2.404	5.535	5.535
C5orf27	1	1	1
C5orf28	1.616	1.245	1.616
C5orf30	1.356	2.009	2.009
C5orf34	2.208	1.024	2.208
C5orf38	1	1.101	1.101
C5orf42	1.178	1	1.178
C5orf45	2.344	3.434	3.434
C5orf46	1	1	1
C5orf47	1	1	1
C5orf48	1	1	1
C5orf49	1	1	1
C5orf50	1	1	1
C5orf51	1.628	1.606	1.628
C5orf52	1	1	1
C5orf54	1	1.253	1.253
C5orf55	1	1	1
C5orf56	1	1.034	1.034
C5orf58	1	1	1
C5orf60	1	1	1
C5orf63	1	1.021	1.021
C5orf64	1	1	1
C6	1	1	1
C6orf1	1	1.154	1.154
C6orf10	1	1	1
C6orf100	1	1	1
C6orf106	2.071	2.341	2.341
C6orf118	1	1	1
C6orf120	1.201	1.344	1.344
C6orf123	1	1	1
C6orf132	1	1	1
C6orf136	1	1.156	1.156
C6orf141	1	1	1
C6orf15	1	1	1
C6orf163	1	1	1
C6orf164	1	1	1
C6orf165	1	1	1
C6ORF165	1	1	1
C6orf183	1	1	1
C6orf195	1	1	1
C6orf201	1	1	1
C6orf203	1.756	1.398	1.756
C6orf205	1	1	1
C6orf211	3.399	2.682	3.399
C6orf222	1	1	1
C6orf223	1	1	1
C6orf226	1	1.349	1.349
C6orf25	1	1	1
C6orf3	1.042	1	1.042
C6orf47	1.097	1.257	1.257
C6orf47-AS1	1	1	1
C6orf48	2.176	7.017	7.017
C6ORF50	1	1	1
C6orf52	1	1.269	1.269
C6orf57	1.004	1.095	1.095
C6orf58	1	1	1
C6orf62	2.474	5.01	5.01
C6orf89	1.548	2.106	2.106
C6orf99	1	1	1
C7	1	1	1
C7orf10	1	1	1
C7orf13	1	1	1
C7orf25	1	1.185	1.185
C7orf26	1.039	1	1.039
C7orf31	1.116	1.55	1.55
C7orf33	1	1	1
C7orf34	1	1	1
C7orf41	1.146	2.067	2.067
C7orf43	1	1	1
C7orf49	1	1.029	1.029
C7orf50	2.516	12.65	12.65
C7orf55	2.273	2.13	2.273
C7orf55-LUC7L2	1	1.537	1.537
C7orf57	1	1	1
C7orf60	1.031	1.497	1.497
C7orf61	1	1.011	1.011
C7orf62	1	1	1
C7orf63	1	1	1
C7orf65	1	1	1
C7orf66	1	1	1
C7orf69	1	1	1
C7orf71	1	1	1
C7orf72	1	1	1
C7orf73	2.133	1.162	2.133
C7orf76	1	1	1
C8A	1	1	1
C8B	1	1	1
C8G	1	1	1
C8orf12	1	1	1
C8orf17	1	1	1
C8orf22	1	1	1
C8orf31	1	1	1
C8orf33	2.526	4.5	4.5
C8orf34	1	1	1
C8orf37	1.106	1	1.106
C8orf4	1	1	1
C8orf44	1.168	1.021	1.168
C8orf44-SGK3	1	1	1
C8orf46	1	1	1
C8orf47	1	1.125	1.125
C8orf48	1	1	1
C8orf49	1	1	1
C8orf56	1	1	1
C8orf58	1	1.119	1.119
C8orf59	2.367	1.818	2.367
C8orf74	1	1	1
C8orf76	1	2.729	2.729
C8orf82	1.41	3.728	3.728
C8orf86	1	1	1
C8orf87	1	1	1
C9	1	1	1
C9orf106	1	1	1
C9orf114	1.094	4.252	4.252
C9orf116	1.009	1.474	1.474
C9orf117	1	1	1
C9orf129	1	1	1
C9orf131	1	1	1
C9orf135	1.1	1.088	1.1
C9orf135-AS1	1	1	1
C9orf139	1	1	1
C9orf141	1	1	1
C9orf142	1.51	3.534	3.534
C9orf147	1	1	1
C9orf152	1	1	1
C9orf153	1	1	1
C9orf156	1.031	1.261	1.261
C9orf16	1.023	2.076	2.076
C9orf163	1.109	1.259	1.259
C9orf169	1.016	1	1.016
C9orf170	1	1	1
C9orf171	1	1	1
C9orf172	1	1	1
C9orf173	1	1	1
C9orf24	1	1	1
C9orf3	1	1	1
C9orf37	1.098	1.478	1.478
C9orf38	1	1	1
C9orf40	1.171	1.355	1.355
C9orf41	1.44	1	1.44
C9orf43	1	1	1
C9orf47	1	1	1
C9orf50	1	1	1
C9orf53	1	1	1
C9orf57	1	1	1
C9orf62	1	1	1
C9orf64	1	1	1
C9orf66	1	1	1
C9orf69	2.235	4.562	4.562
C9orf72	1.068	1.66	1.66
C9orf78	1.132	1.751	1.751
C9orf84	1	1	1
C9orf85	1	1	1
C9orf89	1.358	1.152	1.358
C9orf9	1	1	1
C9orf91	1	1.068	1.068
C9orf92	1	1	1
C9orf96	1	1	1
CA1	1	1	1
CA10	1	1	1
CA11	1.011	2.909	2.909
CA12	1	1	1
CA13	1.265	1.116	1.265
CA14	1	1	1
CA2	1.304	1	1.304
CA3	1	1	1
CA4	1	1	1
CA5A	1	1	1
CA5B	1	1.398	1.398
CA5BP1	1	1	1
CA6	1	1	1
CA7	1	1	1
CA8	1.092	1.163	1.163
CA9	1	1	1
CAAP1	1.126	1.597	1.597
CAB39	1.122	1.299	1.299
CAB39L	1	1.009	1.009
CABIN1	1.002	3.877	3.877
CABLES1	1.031	1.42	1.42
CABLES2	1.043	1.567	1.567
CABP1	1	1	1
CABP2	1	1	1
CABP4	1	1	1
CABP5	1	1	1
CABP7	1	1	1
CABS1	1	1	1
CABYR	1.128	1.06	1.128
CACFD1	1.548	2.398	2.398
CACHD1	1.814	1.472	1.814
CACNA1A	1	1	1
CACNA1B	1	1	1
CACNA1C	1	1	1
CACNA1C-AS1	1	1	1
CACNA1C-AS2	1	1	1
CACNA1C-AS3	1	1	1
CACNA1C-AS4	1	1	1
CACNA1C-IT1	1	1	1
CACNA1C-IT2	1	1	1
CACNA1C-IT3	1	1	1
CACNA1D	1	1	1
CACNA1E	1	1	1
CACNA1F	1	1	1
CACNA1G	1	1	1
CACNA1G-AS1	1	1	1
CACNA1H	1	1	1
CACNA1I	1	1	1
CACNA1S	1	1	1
CACNA2D1	1.217	1.684	1.684
CACNA2D2	1	1.216	1.216
CACNA2D3	1	1	1
CACNA2D3-AS1	1	1	1
CACNA2D4	1	1	1
CACNB1	1.061	1.017	1.061
CACNB2	1.117	2.039	2.039
CACNB3	2.086	5.303	5.303
CACNB4	1	1	1
CACNG1	1	1	1
CACNG2	1	1	1
CACNG3	1	1	1
CACNG4	1	1	1
CACNG5	1	1	1
CACNG6	1	1	1
CACNG7	1.154	1.021	1.154
CACNG8	1	1.055	1.055
CACTIN	1.092	1.84	1.84
CACTIN-AS1	1	1	1
CACUL1	1.796	2.384	2.384
CACYBP	3.07	3.703	3.703
CAD	1.348	4.105	4.105
CADM1	1	1.387	1.387
CADM2	1	1.083	1.083
CADM2-AS1	1	1	1
CADM2-AS2	1	1	1
CADM3	1	1	1
CADM4	1.109	1.243	1.243
CADPS	1	1	1
CADPS2	1	1	1
CAGE1	1	1	1
CAHM	1	1	1
CALB1	1	1	1
CALB2	1	1	1
CALCA	1	1	1
CALCB	1	1	1
CALCOCO1	1	1.916	1.916
CALCOCO2	1.683	1.406	1.683
CALCR	1	1	1
CALCRL	1	1	1
CALD1	1.189	2.694	2.694
CALHM1	1	1	1
CALHM2	1	1	1
CALHM3	1	1	1
CALM1	2.11	1.663	2.11
CALM2	5.146	6.845	6.845
CALM3	3.286	9.821	9.821
CALML3	1	1	1
CALML3-AS1	1	1	1
CALML4	1.149	1.084	1.149
CALML5	1	1	1
CALML6	1	1	1
CALN1	1	1	1
CALR	2.788	7.587	7.587
CALR3	1	1	1
CALU	2.163	4.493	4.493
CALY	1	1	1
CAMK1	1	1	1
CAMK1D	1	1.22	1.22
CAMK1G	1	1	1
CAMK2A	1	1	1
CAMK2B	1	1	1
CAMK2D	1.167	2.113	2.113
CAMK2G	1.331	1.004	1.331
CAMK2N1	1.176	1.855	1.855
CAMK2N2	1.004	1.046	1.046
CAMK4	1.327	1	1.327
CAMKK1	1	1	1
CAMKK2	1	1.816	1.816
CAMKMT	1	1.296	1.296
CAMKV	1.01	2.989	2.989
CAMLG	1.602	2.366	2.366
CAMP	1	1	1
CAMSAP1	1.074	1	1.074
CAMSAP2	1.104	1.673	1.673
CAMSAP3	1.123	1.585	1.585
CAMTA1	1.676	3.638	3.638
CAMTA1-IT1	1	1	1
CAMTA2	1.307	2.324	2.324
CAND1	2.417	2.484	2.484
CAND2	1.068	1.257	1.257
CANT1	2.018	1.133	2.018
CANX	3.972	4.163	4.163
CAP1	1.237	3.542	3.542
CAP2	1.104	1.131	1.131
CAPG	1	1	1
CAPN1	3.379	5.472	5.472
CAPN10	1.312	1.073	1.312
CAPN10-AS1	1.02	1.178	1.178
CAPN11	1	1	1
CAPN12	1	1	1
CAPN13	1	1	1
CAPN14	1	1	1
CAPN15	1	3.151	3.151
CAPN2	2.677	1.058	2.677
CAPN3	1	1	1
CAPN5	1	1.497	1.497
CAPN6	1	1	1
CAPN7	1	1.503	1.503
CAPN8	1	1	1
CAPN9	1	1	1
CAPNS1	2.772	9.33	9.33
CAPNS2	1	1	1
CAPRIN1	1.52	1.257	1.52
CAPRIN2	1.032	1.057	1.057
CAPS	1.345	1	1.345
CAPS2	1	1	1
CAPSL	1	1	1
CAPZA1	2.029	8.513	8.513
CAPZA2	1.151	1.56	1.56
CAPZA3	1	1	1
CAPZB	1.886	3.086	3.086
CARD10	1.055	1.188	1.188
CARD11	1	1	1
CARD14	1	1	1
CARD16	1	1	1
CARD17	1	1	1
CARD18	1	1	1
CARD6	1	1.081	1.081
CARD8	1.017	1.565	1.565
CARD9	1	1	1
CARF	1	1	1
CARHSP1	1.519	3.669	3.669
CARKD	1.338	1.059	1.338
CARM1	7.373	8.71	8.71
CARM1P1	1	1	1
CARNS1	1	1	1
CARS	1.673	4.513	4.513
CARS2	1.192	4.861	4.861
CARS-AS1	1	1	1
CARTPT	1	1	1
CASC1	1	1	1
CASC10	1.213	1.026	1.213
CASC11	1	1	1
CASC14	1	1	1
CASC15	1	1	1
CASC16	1	1	1
CASC17	1	1	1
CASC2	1	1	1
CASC3	1.336	1.724	1.724
CASC4	2.388	1.382	2.388
CASC5	1.694	1.17	1.694
CASC6	1	1	1
CASC7	1.573	2.847	2.847
CASC8	1	1	1
CASC9	1	1	1
CASD1	1.102	1.472	1.472
CASK	1.428	2.672	2.672
CASK-AS1	1	1	1
CASKIN1	1.201	1.483	1.483
CASKIN2	1.06	1.239	1.239
CASP1	1	1	1
CASP10	1	1	1
CASP12	1	1	1
CASP14	1	1	1
CASP16	1	1	1
CASP2	1.082	3.094	3.094
CASP3	1.036	1.861	1.861
CASP4	1	1	1
CASP5	1	1	1
CASP6	1.642	1.692	1.692
CASP7	1.16	1.561	1.561
CASP8	1.298	4.043	4.043
CASP8AP2	1.85	1.129	1.85
CASP9	1	1	1
CASQ1	1	1	1
CASQ2	1	1	1
CASR	1	1	1
CASS4	1	1	1
CAST	2.949	1	2.949
CASZ1	1.242	1.111	1.242
CAT	2.384	1.982	2.384
CATSPER1	1	1	1
CATSPER2	1	1	1
CATSPER2P1	1	1	1
CATSPER3	1	1	1
CATSPER4	1	1	1
CATSPERB	1	1	1
CATSPERD	1	1	1
CATSPERG	1	1	1
CATX-2	1	1	1
CAV1	1	1	1
CAV2	1.16	1	1.16
CAV3	1	1	1
CBFA2T2	1.296	1.397	1.397
CBFA2T3	1	1	1
CBFB	2.459	1	2.459
CBL	1.23	1.61	1.61
CBLB	1	1.797	1.797
CBLC	1	1	1
CBLL1	1.362	1.38	1.38
CBLN1	1	1	1
CBLN2	1	1	1
CBLN3	1	1	1
CBLN4	1	1	1
CBR1	2.718	1.221	2.718
CBR3	1	2.693	2.693
CBR3-AS1	1	1	1
CBR4	1.629	2.444	2.444
CBS	3.197	5.945	5.945
CBWD1	1.713	2.987	2.987
CBWD2	1.376	1.24	1.376
CBWD3	1.262	1.055	1.262
CBWD5	1.447	2.476	2.476
CBWD6	1.593	3.027	3.027
CBWD7	1.264	1.117	1.264
CBX1	2.408	1.124	2.408
CBX2	3.21	3.357	3.357
CBX3	2.62	1.882	2.62
CBX3P2	1	1	1
CBX3P4	1	1	1
CBX4	1.138	1.948	1.948
CBX5	1.497	2.764	2.764
CBX6	4.158	3.304	4.158
CBX7	1	1.225	1.225
CBX8	1.798	1.46	1.798
CBY1	1.213	1.66	1.66
CBY3	1	1	1
CC2D1A	1	1.276	1.276
CC2D1B	1.535	1.165	1.535
CC2D2A	1.035	1.05	1.05
CC2D2B	1	1	1
CCAR1	3.758	4.322	4.322
CCAR2	1	1	1
CCAT1	1	1	1
CCBE1	1	1	1
CCBL1	1.028	3.292	3.292
CCBL2	1	1.441	1.441
CCDC101	1	4.855	4.855
CCDC102A	1	1.001	1.001
CCDC102B	1	1	1
CCDC103	1	1	1
CCDC104	1.186	1	1.186
CCDC105	1	1	1
CCDC106	1.214	2.706	2.706
CCDC107	1	1.346	1.346
CCDC108	1	1	1
CCDC109B	2.081	1.016	2.081
CCDC11	1.086	1	1.086
CCDC110	1.045	1.066	1.066
CCDC112	1.17	1.71	1.71
CCDC113	1	1	1
CCDC114	1	1	1
CCDC115	1.102	3.908	3.908
CCDC116	1	1	1
CCDC117	1.378	1.43	1.43
CCDC12	1.134	1.412	1.412
CCDC120	1.673	2.68	2.68
CCDC121	1.053	1	1.053
CCDC122	1.108	1	1.108
CCDC124	2.336	11.76	11.76
CCDC125	1	1	1
CCDC126	1	1	1
CCDC127	1.118	1.175	1.175
CCDC129	1	1	1
CCDC13	1	1	1
CCDC130	1.583	1.336	1.583
CCDC132	1.445	1.847	1.847
CCDC134	1	1	1
CCDC135	1	1	1
CCDC136	1.047	1.185	1.185
CCDC137	1.725	2.02	2.02
CCDC138	1.327	1	1.327
CCDC13-AS1	1	1	1
CCDC14	1.749	3.522	3.522
CCDC140	1	1	1
CCDC141	1	1	1
CCDC142	2.021	1.572	2.021
CCDC144A	1	1.201	1.201
CCDC144B	1	1.057	1.057
CCDC144CP	1	1	1
CCDC144NL	1	1	1
CCDC146	1	1	1
CCDC147	1	1	1
CCDC147-AS1	1	1	1
CCDC148	1	1	1
CCDC148-AS1	1	1	1
CCDC149	1	1	1
CCDC15	1.063	1	1.063
CCDC150	1.032	1	1.032
CCDC151	1	1	1
CCDC152	1	1	1
CCDC153	1	1	1
CCDC154	1	1	1
CCDC155	1	1	1
CCDC157	1	1	1
CCDC158	1	1	1
CCDC159	1	1	1
CCDC160	1	1	1
CCDC162P	1	1	1
CCDC163P	1.012	1.002	1.012
CCDC166	1	1	1
CCDC167	2.253	7.148	7.148
CCDC168	1	1	1
CCDC169	1	1	1
CCDC169-SOHLH2	1	1	1
CCDC17	1	1	1
CCDC170	1.022	1	1.022
CCDC171	1	1	1
CCDC172	1	1	1
CCDC173	1	1	1
CCDC174	1.088	1.273	1.273
CCDC175	1	1	1
CCDC176	1	1	1
CCDC177	1	1	1
CCDC178	1	1	1
CCDC179	1	1	1
CCDC18	1.82	1	1.82
CCDC180	1	1.019	1.019
CCDC181	1	1	1
CCDC19	1	1	1
